idx;name;key type;init ratio;conflict ratio;r/w threads ratio;percent miss;r/w nb ratio;value size;map type;nb lines;nb map entries;nb write threads;nb read threads;nb read done;exec duration;memory usage;GC done;errors;
0;int3d-c50-v05-ir75-rt32-wt08-rwr01-m10-RWMutex;int3d;0.750000;0.500000;4.000000;0.100000;1;5;RWMutex;1048576;655194;8;32;1048576;1038763;17035456;1;0;
1;int3d-c50-v05-ir75-rt32-wt08-rwr01-m10-syncMap;int3d;0.750000;0.500000;4.000000;0.100000;1;5;syncMap;1048576;655194;8;32;1048576;1109909;156823920;2;0;
2;int3d-c50-v05-ir75-rt32-wt08-rwr32-m50-RWMutex;int3d;0.750000;0.500000;4.000000;0.500000;32;5;RWMutex;1048576;655194;8;32;33554432;15985474;17041248;1;0;
3;int3d-c50-v05-ir75-rt32-wt08-rwr32-m50-syncMap;int3d;0.750000;0.500000;4.000000;0.500000;32;5;syncMap;1048576;655194;8;32;33554432;14693242;244482768;3;0;
4;int3d-c50-v05-ir75-rt16-wt01-rwr01-m50-basic;int3d;0.750000;0.500000;16.000000;0.500000;1;5;basic;1048576;655194;1;16;1048576;770054;16968384;1;0;
5;int3d-c50-v05-ir75-rt16-wt01-rwr01-m50-RWMutex;int3d;0.750000;0.500000;16.000000;0.500000;1;5;RWMutex;1048576;655194;1;16;1048576;884962;16979136;1;0;
6;int3d-c50-v05-ir75-rt16-wt01-rwr01-m50-syncMap;int3d;0.750000;0.500000;16.000000;0.500000;1;5;syncMap;1048576;655194;1;16;1048576;1098172;161632784;2;0;
7;int3d-c50-v05-ir10-rt32-wt08-rwr16-m10-RWMutex;int3d;0.100000;0.500000;4.000000;0.100000;16;5;RWMutex;1048576;655194;8;32;16777216;9012292;88118912;1;0;
8;int3d-c50-v05-ir10-rt32-wt08-rwr16-m10-syncMap;int3d;0.100000;0.500000;4.000000;0.100000;16;5;syncMap;1048576;655194;8;32;16777216;8049342;216751680;2;0;
9;int3d-c50-v05-ir10-rt64-wt01-rwr32-m10-basic;int3d;0.100000;0.500000;64.000000;0.100000;32;5;basic;1048576;655194;1;64;33554432;15572480;88129056;1;0;
10;int3d-c50-v05-ir10-rt64-wt01-rwr32-m10-RWMutex;int3d;0.100000;0.500000;64.000000;0.100000;32;5;RWMutex;1048576;655194;1;64;33554432;19551012;88102784;1;0;
11;int3d-c50-v05-ir10-rt64-wt01-rwr32-m10-syncMap;int3d;0.100000;0.500000;64.000000;0.100000;32;5;syncMap;1048576;655194;1;64;33554432;17810730;384165008;4;0;
12;int3d-c50-v05-ir10-rt16-wt16-rwr32-m50-RWMutex;int3d;0.100000;0.500000;1.000000;0.500000;32;5;RWMutex;1048576;655194;16;16;33554432;17567012;88190048;1;0;
13;int3d-c50-v05-ir10-rt16-wt16-rwr32-m50-syncMap;int3d;0.100000;0.500000;1.000000;0.500000;32;5;syncMap;1048576;655194;16;16;33554432;16474829;142837808;2;0;
14;int3d-c50-v05-ir10-rt16-wt32-rwr64-m50-RWMutex;int3d;0.100000;0.500000;0.500000;0.500000;64;5;RWMutex;1048576;655194;32;16;67108864;34193170;88158176;1;0;
15;int3d-c50-v05-ir10-rt16-wt32-rwr64-m50-syncMap;int3d;0.100000;0.500000;0.500000;0.500000;64;5;syncMap;1048576;655194;32;16;67108864;33075880;157115200;2;0;
16;int3d-c50-v05-ir10-rt32-wt08-rwr16-m00-RWMutex;int3d;0.100000;0.500000;4.000000;0.000000;16;5;RWMutex;1048576;655194;8;32;16777216;10087855;88108352;1;0;
17;int3d-c50-v05-ir10-rt32-wt08-rwr16-m00-syncMap;int3d;0.100000;0.500000;4.000000;0.000000;16;5;syncMap;1048576;655194;8;32;16777216;8807117;214138896;2;0;
18;int3d-c50-v05-ir10-rt32-wt01-rwr32-m10-basic;int3d;0.100000;0.500000;32.000000;0.100000;32;5;basic;1048576;655194;1;32;33554432;15475768;88125248;1;0;
